# Noise_percentage Zero_error_rate One_error_rate Two_error_rate Three_error_rate Four_error_rate Five_error_rate Six_error_rate Seven_error_rate Eight_error_rate Nine_error_rate
0.0 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
1.0 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2.0 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
3.0 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
4.0 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
5.0 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
6.0 0.0000 0.0000 0.0000 0.0000 0.0000 3.0000 0.0000 0.0000 0.0000 1.0000
7.0 1.0000 0.0000 0.0000 2.0000 0.0000 5.0000 0.0000 0.0000 1.0000 0.0000
8.0 1.0000 0.0000 0.0000 1.0000 0.0000 3.0000 0.0000 0.0000 3.0000 2.0000
9.0 1.0000 2.0000 3.0000 0.0000 0.0000 8.0000 1.0000 0.0000 3.0000 7.0000
10.0 0.0000 1.0000 0.0000 5.0000 0.0000 10.0000 0.0000 1.0000 5.0000 3.0000
11.0 5.0000 0.0000 0.0000 4.0000 0.0000 11.0000 0.0000 1.0000 8.0000 9.0000
12.0 3.0000 1.0000 1.0000 9.0000 3.0000 9.0000 0.0000 4.0000 3.0000 5.0000
13.0 6.0000 4.0000 3.0000 15.0000 1.0000 13.0000 0.0000 1.0000 11.0000 13.0000
14.0 6.0000 3.0000 8.0000 10.0000 1.0000 15.0000 1.0000 1.0000 8.0000 11.0000
15.0 7.0000 5.0000 5.0000 11.0000 2.0000 18.0000 3.0000 4.0000 12.0000 11.0000
16.0 7.0000 4.0000 5.0000 14.0000 1.0000 17.0000 5.0000 11.0000 14.0000 13.0000
17.0 12.0000 6.0000 9.0000 15.0000 6.0000 21.0000 9.0000 4.0000 18.0000 22.0000
18.0 14.0000 4.0000 25.0000 13.0000 7.0000 28.0000 6.0000 6.0000 10.0000 15.0000
19.0 14.0000 5.0000 22.0000 20.0000 8.0000 20.0000 8.0000 10.0000 24.0000 26.0000
20.0 18.0000 10.0000 25.0000 21.0000 9.0000 27.0000 6.0000 7.0000 22.0000 22.0000
21.0 25.0000 10.0000 24.0000 30.0000 16.0000 30.0000 19.0000 13.0000 25.0000 26.0000
22.0 26.0000 21.0000 31.0000 29.0000 13.0000 24.0000 18.0000 16.0000 31.0000 26.0000
23.0 30.0000 21.0000 38.0000 29.0000 16.0000 42.0000 14.0000 20.0000 31.0000 31.0000
24.0 32.0000 25.0000 29.0000 34.0000 20.0000 42.0000 21.0000 14.0000 35.0000 28.0000
25.0 34.0000 36.0000 45.0000 44.0000 20.0000 34.0000 29.0000 26.0000 39.0000 32.0000
26.0 37.0000 27.0000 44.0000 39.0000 28.0000 42.0000 29.0000 28.0000 37.0000 40.0000
27.0 35.0000 25.0000 37.0000 45.0000 25.0000 37.0000 24.0000 14.0000 33.0000 35.0000
28.0 41.0000 40.0000 38.0000 42.0000 26.0000 51.0000 43.0000 30.0000 43.0000 37.0000
29.0 47.0000 40.0000 45.0000 47.0000 34.0000 46.0000 46.0000 30.0000 50.0000 32.0000
